Date,Close,High,Low,Open,Volume,RSI,Stoch,EMA_20,MACD,BB_upper,BB_lower,ATR,OBV,Volume_SMA_20,Log_Returns,Target
2017-09-08,67.9395,68.3619,67.8109,68.2609,14703800,61.3394,69.9389,67.3075,0.468,68.5934,65.9031,0.8488,-135416900,17947520.0,-0.0049,1
2017-09-11,68.6558,68.8211,68.2425,68.2425,17910400,68.6163,93.127,67.4359,0.5187,68.7643,65.975,0.86,-117506500,17770855.0,0.0105,0
2017-09-12,68.5824,69.0966,68.2977,68.6558,14394900,62.5004,82.4454,67.5451,0.5467,68.9312,65.9441,0.8455,-131901400,17485770.0,-0.0011,0
2017-09-13,69.069,69.0874,68.4629,68.8119,13380800,70.1784,99.0583,67.6902,0.6012,69.1866,65.8713,0.8488,-118520600,17195740.0,0.0071,0
2017-09-14,68.665,69.3262,68.4354,68.8762,15733900,65.8056,79.0698,67.7831,0.6049,69.3142,65.8467,0.8606,-134254500,17074915.0,-0.0059,0
2017-09-15,69.1609,69.2344,68.0221,68.7201,38578400,67.8115,94.7677,67.9143,0.6404,69.5044,65.9236,0.8901,-95676100,17854960.0,0.0072,0
2017-09-18,69.0231,69.767,68.9129,69.0874,23307000,66.3398,79.3369,68.0199,0.6499,69.6333,66.0399,0.9157,-118983100,18082235.0,-0.002,0
2017-09-19,69.2803,69.5282,68.8854,69.0691,16093300,66.6206,83.1214,68.1399,0.6705,69.7332,66.2422,0.8888,-102889800,18000160.0,0.0037,0
2017-09-20,68.8211,69.3813,68.2425,69.1976,21587900,56.9092,65.5508,68.2048,0.6424,69.81,66.3288,0.8796,-124477700,18362370.0,-0.0067,0
2017-09-21,68.1507,69.0966,68.0589,68.9772,19186100,45.8209,41.1372,68.1997,0.5595,69.7696,66.5061,0.8777,-143663800,18633350.0,-0.0098,0
2017-09-22,68.3344,68.4262,67.8201,67.9487,14111400,53.8719,47.8273,68.2125,0.5029,69.7141,66.7196,0.8468,-129552400,18484005.0,0.0027,0
2017-09-25,67.2783,68.1874,66.966,68.0405,24149200,47.4601,11.1477,68.1235,0.3685,69.6674,66.8066,0.8816,-153701600,19051750.0,-0.0156,0
2017-09-26,67.2783,67.7834,67.0303,67.6548,18019600,48.9523,11.1477,68.043,0.2591,69.6177,66.8959,0.8901,-153701600,19224245.0,0.0,1
2017-09-27,67.8201,68.1139,67.1956,67.5446,19565100,46.1293,30.4906,68.0218,0.2136,69.5575,67.0295,0.877,-134136500,19628580.0,0.008,1
2017-09-28,67.8385,67.9303,67.3242,67.5354,10883800,49.0816,31.147,68.0043,0.177,69.5594,67.0148,0.881,-123252700,19327880.0,0.0003,0
2017-09-29,68.4078,68.4537,67.8476,67.9027,17079100,47.6843,51.4748,68.0428,0.1917,69.5356,67.0129,0.8619,-106173600,18799195.0,0.0084,0
2017-10-02,68.518,68.8854,68.2334,68.6099,15304800,49.4035,55.4097,68.088,0.2098,69.5582,67.0518,0.8514,-90868800,18477625.0,0.0016,1
2017-10-03,68.1966,68.766,68.1324,68.5732,12190400,41.6524,43.9349,68.0984,0.196,69.545,67.1247,0.8521,-103059200,18009345.0,-0.0047,1
2017-10-04,68.5915,68.6191,67.6915,68.0405,13317700,49.2958,58.0328,68.1453,0.2144,69.5264,67.2617,0.8547,-89741500,17848440.0,0.0058,1
2017-10-05,69.767,69.9048,68.8395,69.0782,21195300,55.1401,95.3125,68.2998,0.3202,69.7543,67.1835,0.8619,-68546200,18034645.0,0.017,0
2017-10-06,69.7945,69.8221,69.3721,69.4915,13959800,56.6665,96.2492,68.4421,0.4016,69.9498,67.1735,0.8331,-54586400,17997445.0,0.0004,0
2017-10-09,70.0609,70.2996,69.666,69.767,11386500,56.7352,92.8374,68.5963,0.4821,70.1739,67.09,0.8324,-43199900,17671250.0,0.0038,1
2017-10-10,70.0609,70.3731,69.9231,70.0976,13944500,61.6181,90.8356,68.7358,0.5396,70.3743,67.0373,0.7832,-43199900,17648730.0,0.0,1
2017-10-11,70.1803,70.217,69.7486,70.1252,15388900,71.2091,94.3399,68.8734,0.5881,70.5505,66.9723,0.7426,-27811000,17749135.0,0.0017,1
2017-10-12,70.8231,70.9792,70.1344,70.2446,16876500,73.7301,96.1099,69.059,0.6706,70.8805,66.8582,0.7596,-10934500,17806265.0,0.0091,0
2017-10-13,71.1629,71.5119,70.9792,71.2547,15335700,92.9009,92.213,69.2594,0.7548,71.226,66.7129,0.7111,4401200,16644130.0,0.0048,0
2017-10-16,71.3098,71.4568,71.0343,71.0986,12380100,93.1241,95.319,69.4547,0.8238,71.5716,66.5959,0.6874,16781300,16097785.0,0.0021,0
2017-10-17,71.2547,71.2823,70.9425,71.1445,16824000,91.0091,93.8594,69.6261,0.8641,71.8532,66.5118,0.6481,-42700,16134320.0,-0.0008,1
2017-10-18,71.2731,71.4935,71.0527,71.3282,13300700,91.009,93.7496,69.783,0.8873,72.1268,66.4834,0.6363,13258000,15719960.0,0.0003,1
2017-10-19,71.5486,71.567,71.0343,71.2364,15092800,90.3305,99.5261,69.9511,0.9174,72.4109,66.5391,0.6304,28350800,15515295.0,0.0039,1
2017-10-20,72.3751,72.522,71.8333,71.9251,22866400,91.8329,96.9581,70.182,0.9964,72.8305,66.5235,0.6533,51217200,15953045.0,0.0115,0
2017-10-23,72.3935,72.8618,72.3292,72.5404,20627200,98.7205,90.9415,70.3926,1.0484,73.0968,66.7687,0.6461,71844400,15776945.0,0.0003,0
2017-10-24,72.4211,72.7333,72.0537,72.4578,17517200,98.6013,89.0414,70.5858,1.0794,73.2807,67.0991,0.6284,89361600,15751825.0,0.0004,1
2017-10-25,72.2098,72.6414,71.6405,72.1639,20410800,91.049,81.3161,70.7405,1.0745,73.4138,67.4049,0.6061,68950800,15794110.0,-0.0029,1
2017-10-26,72.3292,72.9353,72.32,72.7333,32120700,91.3171,81.4608,70.8918,1.068,73.4973,67.7705,0.6258,101071500,16855955.0,0.0017,1
2017-10-27,76.9669,79.1617,76.7832,77.4811,71066700,96.4196,76.6829,71.4703,1.4207,74.9126,67.2112,1.0686,172138200,19555335.0,0.0621,0
2017-10-30,77.0403,77.4444,76.324,76.8658,31756700,96.4546,77.4634,72.0008,1.6866,75.9853,66.9907,1.1164,203894900,20377930.0,0.001,0
2017-10-31,76.3883,77.472,76.324,77.472,27086600,88.5844,69.2777,72.4187,1.8238,76.6192,67.1759,1.165,176808300,21122740.0,-0.0085,1
2017-11-01,76.3883,76.9209,76.1128,76.8475,22307400,87.5929,66.257,72.7967,1.9105,77.1453,67.4296,1.1624,176808300,21572225.0,0.0,1
2017-11-02,77.1873,77.5638,76.3332,76.5444,23992900,88.3177,75.9778,73.2149,2.0203,77.8291,67.4877,1.2011,200801200,21712105.0,0.0104,0
2017-11-03,77.2699,77.6373,76.5903,77.2148,17633500,88.2214,76.9833,73.6011,2.09,78.4079,67.6565,1.2457,218434700,21895790.0,0.0011,0
2017-11-06,77.573,77.7842,77.2148,77.325,19860900,89.2694,80.4521,73.9794,2.1449,78.9563,67.8592,1.2601,238295600,22319510.0,0.0039,0
2017-11-07,77.3893,77.9679,77.0771,77.8485,17939700,87.2485,78.1923,74.3041,2.1489,79.3599,68.1885,1.2922,220355900,22519270.0,-0.0024,0
2017-11-08,77.6556,77.7015,76.9852,77.2699,18034200,87.2341,79.9754,74.6233,2.1487,79.7215,68.5745,1.3054,238390100,22651535.0,0.0034,0
2017-11-09,77.224,77.3893,76.1312,77.2424,21178400,81.059,74.2368,74.871,2.0897,79.9724,68.9637,1.3447,217211700,22866630.0,-0.0056,0
